Country;name;Regions;alpha-3;continent;WACC_agg
Afghanistan;AS-AFG;AS-SouthStans;AFG;AS;0.21788279689476167
United Arab Emirates;AS-ARE;AS-Arabia;ARE;AS;0.03793212575202397
Bangladesh;AS-BGD;AS-SouthEast;BGD;AS;0.06531528358018991
Bahrain;AS-BHR;AS-Arabia;BHR;AS;0.08820415998198425
Brunei Darussalam;AS-BRN;AS-SouthEast;BRN;AS;0.040758022112992946
Bhutan;AS-BTN;AS-SouthEast;BTN;AS;0.2147334926765461
China;AS-CHN;AS-CHN;CHN;AS;0.039033434066868114
Indonesia;AS-IDN;AS-SouthIslands;IDN;AS;0.05034966714228074
India;AS-IND;AS-IND;IND;AS;0.05230212527068084
Iran, Islamic Republic of;AS-IRN;AS-IRN;IRN;AS;0.11538730678268704
Iraq;AS-IRQ;AS-West;IRQ;AS;0.10413305769882526
Israel;AS-ISR;AS-West;ISR;AS;0.03914683032915117
Jordan;AS-JOR;AS-West;JOR;AS;0.074827024378194
Japan;AS-JPN;AS-KoreaJapan;JPN;AS;0.038764684925257274
Kazakhstan;AS-KAZ;AS-NorthStans;KAZ;AS;0.053318531712677
Kyrgyzstan;AS-KGZ;AS-NorthStans;KGZ;AS;0.08619685234846636
Cambodia;AS-KHM;AS-SouthEast;KHM;AS;0.08418954471494845
Korea, Republic of;AS-KOR;AS-KoreaJapan;KOR;AS;0.03705392762995565
Kuwait;AS-KWT;AS-West;KWT;AS;0.03960041537828339
Lao People's Democratic Republic;AS-LAO;AS-SouthEast;LAO;AS;0.1169161923785586
Lebanon;AS-LBN;AS-West;LBN;AS;0.21977237942569103
Sri Lanka;AS-LKA;AS-SouthEast;LKA;AS;0.10022459967753897
Myanmar;AS-MMR;AS-SouthEast;MMR;AS;0.09309049968223486
Mongolia;AS-MNG;AS-MNG;MNG;AS;0.09239815162803283
Malaysia;AS-MYS;AS-SouthIslands;MYS;AS;0.04366965648465295
Nepal;AS-NPL;AS-SouthEast;NPL;AS;0.2147334926765461
Oman;AS-OMN;AS-Arabia;OMN;AS;0.06711034656672157
Pakistan;AS-PAK;AS-SouthStans;PAK;AS;0.09147502088909681
Philippines;AS-PHL;AS-SouthIslands;PHL;AS;0.05007154827469845
Qatar;AS-QAT;AS-Arabia;QAT;AS;0.03892630751996992
Russian Federation;AS-RUS;AS-RUS;RUS;AS;0.053318531712677
Saudi Arabia;AS-SAU;AS-SAU;SAU;AS;0.03931692472257575
Singapore;AS-SGP;AS-SouthIslands;SGP;AS;0.032844598072123886
Syrian Arab Republic;AS-SYR;AS-West;SYR;AS;0.2147334926765461
Thailand;AS-THA;AS-SouthEast;THA;AS;0.04766728069859998
Tajikistan;AS-TJK;AS-NorthStans;TJK;AS;0.09401363042117089
Turkmenistan;AS-TKM;AS-SouthStans;TKM;AS;0.22544112701847904
Türkiye;AS-TUR;AS-West;TUR;AS;0.0831858908981895
Taiwan, Province of China;AS-TWN;AS-TWN;TWN;AS;0.038389107391906395
Uzbekistan;AS-UZB;AS-NorthStans;UZB;AS;0.07568041858804186
Viet Nam;AS-VNM;AS-SouthEast;VNM;AS;0.0663923213721089
Yemen;AS-YEM;AS-Arabia;YEM;AS;0.21788279689476167
Albania;EU-ALB;EU-SouthEast;ALB;EU;0.07568041858804186
Armenia;EU-ARM;AS-West;ARM;EU;0.06667953144995398
Austria;EU-AUT;EU-Central;AUT;EU;0.03630664658619021
Azerbaijan;EU-AZE;AS-West;AZE;EU;0.06082541738809274
Belgium;EU-BEL;EU-Benelux;BEL;EU;0.03812050732787462
Bulgaria;EU-BGR;EU-SouthEast;BGR;EU;0.048502292660180975
Bosnia and Herzegovina;EU-BIH;EU-East;BIH;EU;0.09585989189904293
Belarus;EU-BLR;EU-East;BLR;EU;0.09239815162803283
Switzerland;EU-CHE;EU-Central;CHE;EU;0.03275173279808766
Czechia;EU-CZE;EU-East;CZE;EU;0.03833538737910004
Germany;EU-DEU;EU-DEU;DEU;EU;0.03238454136971456
Denmark;EU-DNK;EU-North;DNK;EU;0.03266669524829971
Spain;EU-ESP;EU-Iberia;ESP;EU;0.047249774717809494
Estonia;EU-EST;EU-East;EST;EU;0.03931692472257575
Finland;EU-FIN;EU-East;FIN;EU;0.03644912570050682
France;EU-FRA;EU-FRA;FRA;EU;0.03708269618912685
United Kingdom of Great Britain and Northern Ireland;EU-GBR;EU-GBR;GBR;EU;0.03812050732787462
Georgia;EU-GEO;AS-West;GEO;EU;0.06145409903265015
Greece;EU-GRC;EU-SouthEast;GRC;EU;0.06610511129426384
Croatia;EU-HRV;EU-Central;HRV;EU;0.05632313370309536
Hungary;EU-HUN;EU-Central;HUN;EU;0.054436578798872794
Ireland;EU-IRL;EU-IslandIreland;IRL;EU;0.041124201750767274
Iceland;EU-ISL;EU-IslandIreland;ISL;EU;0.04060544726392031
Italy;EU-ITA;EU-Central;ITA;EU;0.052524718281478
Lithuania;EU-LTU;EU-East;LTU;EU;0.044313954990009556
Luxembourg;EU-LUX;EU-Benelux;LUX;EU;0.03256208838789109
Latvia;EU-LVA;EU-East;LVA;EU;0.04395601137592256
Moldova, Republic of;EU-MDA;EU-East;MDA;EU;0.09539832652957493
North Macedonia;EU-MKD;EU-SouthEast;MKD;EU;0.06782837176133423
Netherlands, Kingdom of the;EU-NLD;EU-Benelux;NLD;EU;0.032531489102193334
Norway;EU-NOR;EU-North;NOR;EU;0.03266669524829971
Poland;EU-POL;EU-East;POL;EU;0.040727507143178424
Portugal;EU-PRT;EU-Iberia;PRT;EU;0.05214966430438141
Romania;EU-ROU;EU-East;ROU;EU;0.05372509428947547
Serbia;EU-SRB;EU-East;SRB;EU;0.06711034656672157
Slovakia;EU-SVK;EU-Central;SVK;EU;0.04060544726392031
Slovenia;EU-SVN;EU-Central;SVN;EU;0.04381283393028775
Sweden;EU-SWE;EU-North;SWE;EU;0.03271650803897048
Ukraine;EU-UKR;EU-East;UKR;EU;0.09401363042117089
Canada;NA-CAN;NA-CanadaUSA;CAN;NA;0.03251939171017329
Costa Rica;NA-CRI;NA-CentralAmerica;CRI;NA;0.08218223708143053
Cuba;NA-CUB;NA-CentralAmerica;CUB;NA;0.11232953559094391
Dominican Republic;NA-DOM;NA-CentralAmerica;DOM;NA;0.06538708609965119
Guatemala;NA-GTM;NA-CentralAmerica;GTM;NA;0.05554910870865938
Honduras;NA-HND;NA-CentralAmerica;HND;NA;0.07312023595849824
Haiti;NA-HTI;NA-CentralAmerica;HTI;NA;0.14096278490585618
Jamaica;NA-JAM;NA-CentralAmerica;JAM;NA;0.0831858908981895
Mexico;NA-MEX;NA-CentralAmerica;MEX;NA;0.04683226873701899
Nicaragua;NA-NIC;NA-CentralAmerica;NIC;NA;0.09124423820436281
Panama;NA-PAN;NA-CentralAmerica;PAN;NA;0.047249774717809494
El Salvador;NA-SLV;NA-CentralAmerica;SLV;NA;0.09124423820436281
Trinidad and Tobago;NA-TTO;SA-NorthEast;TTO;NA;0.05499623371263367
United States of America;NA-USA;NA-CanadaUSA;USA;NA;0.032537537798203356
Australia;OC-AUS;OC-AustraliaNewzealand;AUS;OC;0.03238205073018103
New Zealand;OC-NZL;OC-AustraliaNewzealand;NZL;OC;0.0324532118597107
Argentina;SA-ARG;SA-ArgentinaBolivia;ARG;SA;0.1389844741794037
Bolivia, Plurinational State of;SA-BOL;SA-ArgentinaBolivia;BOL;SA;0.0831858908981895
Brazil;SA-BRA;SA-NorthEast;BRA;SA;0.059065108783331946
Chile;SA-CHL;SA-ChilePeru;CHL;SA;0.038920037804585056
Colombia;SA-COL;SA-NorthWest;COL;SA;0.04914448538275752
Ecuador;SA-ECU;SA-NorthWest;ECU;SA;0.12451657417262191
Guyana;SA-GUY;SA-NorthEast;GUY;SA;0.0831858908981895
Peru;SA-PER;SA-ChilePeru;PER;SA;0.04327591850915725
Paraguay;SA-PRY;SA-NorthEast;PRY;SA;0.0572077336967365
Suriname;SA-SUR;SA-NorthEast;SUR;SA;0.12082543284483527
Uruguay;SA-URY;SA-NorthEast;URY;SA;0.05007154827469845
Venezuela, Bolivarian Republic of;SA-VEN;SA-NorthWest;VEN;SA;0.20906474508375805
