ISO3 code;Year;Technology;Electricity Installed Capacity (MW);capacity_added;rel_capacity_added;area_potential;log_expol;growth_rate;log_expol_cap_add;log_expol_decom;tech_potential
FRA;2022;Onshore wind energy;20808.575;2259.4540000000015;0.10858283183735558;390714.59806036146;;;;;388761.02507005964
FRA;2023;Onshore wind energy;22193.575;1385.0;;390714.59806036146;24188.514873041288;0.12199665668024977;;;390714.59806036146
FRA;2024;Onshore wind energy;;;;390714.59806036146;27231.057488019556;0.12199665668024977;3042.542614978269;;392668.1710506633
FRA;2025;Onshore wind energy;;;;390714.59806036146;30630.142699195716;0.12199665668024977;3399.0852111761596;;394621.7440409651
FRA;2026;Onshore wind energy;;;;390714.59806036146;34420.697483275435;0.12199665668024977;3790.554784079719;;396575.31703126687
FRA;2027;Onshore wind energy;;;;390714.59806036146;38639.29963705242;0.12199665668024977;4218.602153776985;;398528.8900215687
FRA;2028;Onshore wind energy;;;;390714.59806036146;43323.77261179602;0.12199665668024977;4684.4729747435995;;400482.4630118705
FRA;2029;Onshore wind energy;;;;390714.59806036146;48512.6319158861;0.12199665668024977;5188.859304090081;;402436.0360021723
FRA;2030;Onshore wind energy;;;;390714.59806036146;54244.3630121449;0.12199665668024977;5731.731096258802;;404389.6089924741
FRA;2031;Onshore wind energy;;;;390714.59806036146;60556.51440392455;0.12199665668024977;6312.151391779647;;406343.1819827759
FRA;2032;Onshore wind energy;;;;390714.59806036146;67484.59631265207;0.12199665668024977;6928.081908727516;;408296.75497307774
FRA;2033;Onshore wind energy;;;;390714.59806036146;75060.7855854598;0.12199665668024977;7576.189272807736;;410250.32796337956
FRA;2034;Onshore wind energy;;;;390714.59806036146;83312.45161815922;0.12199665668024977;8251.666032699417;;412203.9009536813
FRA;2035;Onshore wind energy;;;;390714.59806036146;92260.53613772176;0.12199665668024977;8948.084519562544;;414157.47394398315
FRA;2036;Onshore wind energy;;;;390714.59806036146;101917.84107656761;0.12199665668024977;9657.304938845846;;416111.04693428497
FRA;2037;Onshore wind energy;;;;390714.59806036146;112287.30212729814;0.12199665668024977;10369.461050730533;;418064.61992458673
FRA;2038;Onshore wind energy;;;;390714.59806036146;123360.3486277356;0.12199665668024977;11073.046500437456;;420018.19291488855
FRA;2039;Onshore wind energy;;;;390714.59806036146;135115.47004196743;0.12199665668024977;11755.121414231835;;421971.7659051904
FRA;2040;Onshore wind energy;;;;390714.59806036146;147517.12166664278;0.12199665668024977;12401.651624675345;;423925.3388954922
FRA;2041;Onshore wind energy;;;;390714.59806036146;160515.10333442935;0.12199665668024977;12997.981667786575;;425878.911885794
FRA;2042;Onshore wind energy;;;;390714.59806036146;174044.53142451812;0.12199665668024977;13529.428090088768;;427832.4848760958
FRA;2043;Onshore wind energy;;;;390714.59806036146;188026.49452808307;0.12199665668024977;13981.96310356495;;429786.0578663976
FRA;2044;Onshore wind energy;;;;390714.59806036146;202369.43710872755;0.12199665668024977;14342.942580644478;199326.89449374928;431739.6308566994
FRA;2045;Onshore wind energy;;;;390714.59806036146;216971.25680675957;0.12199665668024977;14601.81969803202;213572.1715955834;433693.2038470012
FRA;2046;Onshore wind energy;;;;390714.59806036146;231722.03592442963;0.12199665668024977;14750.779117670056;227931.4811403499;435646.776837303
FRA;2047;Onshore wind energy;;;;390714.59806036146;246507.26453369533;0.12199665668024977;14785.228609265701;242288.66237991833;437600.34982760483
FRA;2048;Onshore wind energy;;;;390714.59806036146;261211.36076943474;0.12199665668024977;14704.096235739416;256526.88779469114;439553.92281790666
FRA;2049;Onshore wind energy;;;;390714.59806036146;275721.261361334;0.12199665668024977;14509.900591899263;270532.4020572439;441507.4958082085
FRA;2050;Onshore wind energy;;;;390714.59806036146;289929.84765368287;0.12199665668024977;14208.58629234886;284198.1165574241;443461.06879851024
FRA;2051;Onshore wind energy;;;;390714.59806036146;303738.9905690564;0.12199665668024977;13809.142915373552;297426.83917727676;445414.64178881206
FRA;2052;Onshore wind energy;;;;390714.59806036146;317062.03915908624;0.12199665668024977;13323.048590029823;310133.9572503587;447368.2147791139
FRA;2053;Onshore wind energy;;;;390714.59806036146;329825.63488813926;0.12199665668024977;12763.59572905302;322249.4456153315;449321.7877694157
FRA;2054;Onshore wind energy;;;;390714.59806036146;341970.7988110838;0.12199665668024977;12145.163922944514;333719.1327783844;451275.36075971747
FRA;2055;Onshore wind energy;;;;390714.59806036146;353453.3022378622;0.12199665668024977;11482.503426778421;344505.21771829965;453228.9337500193
FRA;2056;Onshore wind energy;;;;390714.59806036146;364243.3856339657;0.12199665668024977;10790.083396103524;354586.08069511986;455182.5067403211
FRA;2057;Onshore wind energy;;;;390714.59806036146;374324.93025271816;0.12199665668024977;10081.544618752436;363955.4692019876;457136.07973062294
FRA;2058;Onshore wind energy;;;;390714.59806036146;383694.21018352057;0.12199665668024977;9369.279930802411;372621.16368308314;459089.6527209247
FRA;2059;Onshore wind energy;;;;390714.59806036146;392358.3597172238;0.12199665668024977;8664.149533703225;380603.23830299196;461043.2257112265
FRA;2060;Onshore wind energy;;;;390714.59806036146;400333.68478538556;0.12199665668024977;7975.325068161765;387932.03316071024;462996.79870152834
GBR;2000;Onshore wind energy;431.0;;;165024.6651796781;;;;;146046.8286840151
GBR;2001;Onshore wind energy;490.0;59.0;0.12040816326530612;165024.6651796781;;;;;146871.9520099135
GBR;2002;Onshore wind energy;531.0;41.0;0.07721280602636535;165024.6651796781;;;;;147697.07533581188
GBR;2003;Onshore wind energy;678.0;147.0;0.2168141592920354;165024.6651796781;;;;;148522.19866171028
GBR;2004;Onshore wind energy;809.0;131.0;0.1619283065512979;165024.6651796781;;;;;149347.32198760868
GBR;2005;Onshore wind energy;1351.0;542.0;0.4011843079200592;165024.6651796781;;;;;150172.44531350705
GBR;2006;Onshore wind energy;1651.0;300.0;0.18170805572380375;165024.6651796781;;;;;150997.56863940545
GBR;2007;Onshore wind energy;2083.0;432.0;0.20739318290926548;165024.6651796781;;;;;151822.69196530385
